Episode 50	Average Score: 59.416	Min Score: 10.648	Max Score: 189.675
Episode 100	Average Score: 59.677	Min Score: 7.860	Max Score: 212.450
Episode 150	Average Score: 56.951	Min Score: 9.068	Max Score: 140.216
Episode 200	Average Score: 48.357	Min Score: 10.047	Max Score: 121.122
Episode 250	Average Score: 44.016	Min Score: 5.744	Max Score: 108.737
Episode 300	Average Score: 51.394	Min Score: 10.330	Max Score: 204.017
Episode 350	Average Score: 54.847	Min Score: 8.353	Max Score: 181.631
Episode 400	Average Score: 48.323	Min Score: 8.227	Max Score: 217.891
Episode 450	Average Score: 46.520	Min Score: 9.490	Max Score: 141.970
Episode 500	Average Score: 45.104	Min Score: 8.103	Max Score: 140.129
Episode 550	Average Score: 46.913	Min Score: 7.742	Max Score: 174.978
Episode 600	Average Score: 53.063	Min Score: 10.579	Max Score: 165.010
Episode 650	Average Score: 54.063	Min Score: 7.673	Max Score: 215.816
Episode 700	Average Score: 52.261	Min Score: 8.007	Max Score: 152.892
Episode 750	Average Score: 53.969	Min Score: 7.400	Max Score: 219.644
Episode 800	Average Score: 57.497	Min Score: 7.469	Max Score: 168.206
Episode 850	Average Score: 57.000	Min Score: 4.507	Max Score: 143.316
Episode 900	Average Score: 56.935	Min Score: 8.628	Max Score: 217.600
Episode 950	Average Score: 45.911	Min Score: 8.037	Max Score: 199.495
Episode 1000	Average Score: 37.793	Min Score: 1.458	Max Score: 159.292
Episode 1050	Average Score: 39.704	Min Score: 4.354	Max Score: 136.940
Episode 1100	Average Score: 44.366	Min Score: 3.753	Max Score: 166.499
Episode 1150	Average Score: 53.150	Min Score: 10.770	Max Score: 175.075
Episode 1200	Average Score: 60.504	Min Score: 2.036	Max Score: 226.052
Episode 1250	Average Score: 60.312	Min Score: 12.289	Max Score: 199.872
Episode 1300	Average Score: 49.046	Min Score: 1.644	Max Score: 170.760
Episode 1350	Average Score: 44.061	Min Score: 10.062	Max Score: 129.424
Episode 1400	Average Score: 47.647	Min Score: 8.640	Max Score: 277.522
Episode 1450	Average Score: 54.003	Min Score: 9.945	Max Score: 146.411
