Episode 50	Average Score: 259.674	Min Score: 14.266	Max Score: 1065.437
Episode 100	Average Score: 241.788	Min Score: 14.802	Max Score: 767.787
Episode 150	Average Score: 189.214	Min Score: 17.708	Max Score: 1073.731
Episode 200	Average Score: 164.676	Min Score: 22.781	Max Score: 630.044
Episode 250	Average Score: 159.569	Min Score: 14.035	Max Score: 566.014
Episode 300	Average Score: 148.102	Min Score: 16.360	Max Score: 450.952
Episode 350	Average Score: 157.552	Min Score: 19.578	Max Score: 828.721
Episode 400	Average Score: 157.803	Min Score: 21.186	Max Score: 602.594
Episode 450	Average Score: 163.527	Min Score: 20.279	Max Score: 768.095
Episode 500	Average Score: 160.226	Min Score: 16.151	Max Score: 738.947
Episode 550	Average Score: 164.872	Min Score: 24.782	Max Score: 708.046
Episode 600	Average Score: 162.707	Min Score: 13.532	Max Score: 628.129
Episode 650	Average Score: 167.586	Min Score: 12.442	Max Score: 729.070
Episode 700	Average Score: 169.481	Min Score: 15.460	Max Score: 885.602
Episode 750	Average Score: 147.580	Min Score: 12.095	Max Score: 735.964
Episode 800	Average Score: 129.841	Min Score: 12.184	Max Score: 458.944
Episode 850	Average Score: 110.985	Min Score: 13.583	Max Score: 434.717
Episode 900	Average Score: 122.439	Min Score: 12.770	Max Score: 817.259
Episode 950	Average Score: 125.766	Min Score: 15.584	Max Score: 758.662
Episode 1000	Average Score: 122.957	Min Score: 11.907	Max Score: 596.819
Episode 1050	Average Score: 128.505	Min Score: 17.864	Max Score: 676.434
Episode 1100	Average Score: 138.906	Min Score: 20.717	Max Score: 571.640
Episode 1150	Average Score: 145.029	Min Score: 15.192	Max Score: 732.253
Episode 1200	Average Score: 125.080	Min Score: 1.209	Max Score: 459.478
Episode 1250	Average Score: 105.216	Min Score: 15.276	Max Score: 414.375
Episode 1300	Average Score: 95.096	Min Score: 14.492	Max Score: 378.207
Episode 1350	Average Score: 87.814	Min Score: 15.361	Max Score: 306.924
Episode 1400	Average Score: 95.645	Min Score: 15.629	Max Score: 454.846
Episode 1450	Average Score: 93.868	Min Score: 17.023	Max Score: 270.213
Episode 1500	Average Score: 94.790	Min Score: 13.396	Max Score: 527.976
Episode 1550	Average Score: 118.232	Min Score: 19.194	Max Score: 580.919
Episode 1600	Average Score: 122.054	Min Score: 19.259	Max Score: 358.872
Episode 1650	Average Score: 105.825	Min Score: 15.231	Max Score: 319.723
Episode 1700	Average Score: 108.516	Min Score: 18.756	Max Score: 511.965
Episode 1750	Average Score: 118.322	Min Score: 13.916	Max Score: 493.699
Episode 1800	Average Score: 114.931	Min Score: 15.858	Max Score: 527.106
Episode 1850	Average Score: 141.836	Min Score: 17.688	Max Score: 706.711
Episode 1900	Average Score: 160.063	Min Score: 15.390	Max Score: 479.954
Episode 1950	Average Score: 140.324	Min Score: 16.587	Max Score: 723.213
Episode 2000	Average Score: 125.213	Min Score: 15.217	Max Score: 499.672
Episode 2050	Average Score: 116.712	Min Score: 12.326	Max Score: 661.605
Episode 2100	Average Score: 114.692	Min Score: 19.001	Max Score: 317.882
Episode 2150	Average Score: 115.641	Min Score: 22.279	Max Score: 656.085
Episode 2200	Average Score: 116.648	Min Score: 18.588	Max Score: 475.961
Episode 2250	Average Score: 128.573	Min Score: 16.333	Max Score: 531.225
Episode 2300	Average Score: 138.725	Min Score: 17.745	Max Score: 676.863
Episode 2350	Average Score: 165.603	Min Score: 16.572	Max Score: 1015.698
Episode 2400	Average Score: 213.182	Min Score: 16.950	Max Score: 1046.603
Episode 2450	Average Score: 188.194	Min Score: 22.038	Max Score: 585.942
Episode 2500	Average Score: 172.312	Min Score: 19.825	Max Score: 1222.200
Episode 2550	Average Score: 187.829	Min Score: 22.221	Max Score: 765.644
Episode 2600	Average Score: 163.021	Min Score: 21.795	Max Score: 577.610
Episode 2650	Average Score: 137.238	Min Score: 16.402	Max Score: 614.396
Episode 2700	Average Score: 117.370	Min Score: 18.146	Max Score: 499.033
Episode 2750	Average Score: 127.431	Min Score: 16.572	Max Score: 616.806
Episode 2800	Average Score: 130.028	Min Score: 17.932	Max Score: 764.441
Episode 2850	Average Score: 117.080	Min Score: 12.831	Max Score: 354.896
Episode 2900	Average Score: nan	Min Score: nan	Max Score: nan
Episode 2950	Average Score: nan	Min Score: -0.575	Max Score: -0.575
Episode 3000	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3050	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3100	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3150	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3200	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3250	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3300	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3350	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3400	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3450	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3500	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3550	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3600	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3650	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3700	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3750	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3800	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3850	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3900	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 3950	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 4000	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 4050	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 4100	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
Episode 4150	Average Score: -0.575	Min Score: -0.575	Max Score: -0.575
