Episode 50	Average Score: 22.131	Min Score: 0.732	Max Score: 79.623
Episode 100	Average Score: 22.294	Min Score: 0.990	Max Score: 71.366
Episode 150	Average Score: 21.681	Min Score: 0.950	Max Score: 59.095
Episode 200	Average Score: 24.841	Min Score: 0.787	Max Score: 93.243
Episode 250	Average Score: 29.438	Min Score: 1.411	Max Score: 81.899
Episode 300	Average Score: 31.610	Min Score: 0.893	Max Score: 93.710
Episode 350	Average Score: 32.473	Min Score: 10.061	Max Score: 94.540
Episode 400	Average Score: 28.169	Min Score: 0.014	Max Score: 53.282
Episode 450	Average Score: 25.016	Min Score: 0.015	Max Score: 69.489
Episode 500	Average Score: 30.352	Min Score: 0.967	Max Score: 111.735
Episode 550	Average Score: 34.901	Min Score: 0.023	Max Score: 100.365
Episode 600	Average Score: 31.602	Min Score: 1.139	Max Score: 78.385
Episode 650	Average Score: 27.272	Min Score: 1.125	Max Score: 80.238
Episode 700	Average Score: 28.850	Min Score: 7.517	Max Score: 110.919
Episode 750	Average Score: 30.147	Min Score: 0.046	Max Score: 117.568
Episode 800	Average Score: 32.722	Min Score: 0.039	Max Score: 116.199
Episode 850	Average Score: 34.722	Min Score: 0.030	Max Score: 133.628
Episode 900	Average Score: 35.348	Min Score: 0.046	Max Score: 113.183
Episode 950	Average Score: 35.586	Min Score: 1.514	Max Score: 152.358
Episode 1000	Average Score: 36.819	Min Score: 0.952	Max Score: 132.806
Episode 1050	Average Score: 38.085	Min Score: 0.043	Max Score: 155.126
Episode 1100	Average Score: 33.666	Min Score: 1.155	Max Score: 91.609
Episode 1150	Average Score: 38.086	Min Score: 1.260	Max Score: 161.282
Episode 1200	Average Score: 47.092	Min Score: 1.501	Max Score: 310.180
Episode 1250	Average Score: 42.457	Min Score: 1.744	Max Score: 146.732
Episode 1300	Average Score: 35.359	Min Score: 5.969	Max Score: 151.253
Episode 1350	Average Score: 42.818	Min Score: 1.310	Max Score: 182.379
Episode 1400	Average Score: 56.175	Min Score: 13.426	Max Score: 195.313
Episode 1450	Average Score: 59.260	Min Score: 8.510	Max Score: 236.571
Episode 1500	Average Score: 55.028	Min Score: 1.953	Max Score: 202.068
Episode 1550	Average Score: 56.033	Min Score: 0.030	Max Score: 184.893
Episode 1600	Average Score: 61.466	Min Score: 10.551	Max Score: 233.010
Episode 1650	Average Score: 61.153	Min Score: 0.041	Max Score: 169.368
Episode 1700	Average Score: 62.782	Min Score: 5.805	Max Score: 279.673
Episode 1750	Average Score: 83.909	Min Score: 13.575	Max Score: 339.352
Episode 1800	Average Score: 78.019	Min Score: 10.191	Max Score: 180.339
Episode 1850	Average Score: 55.230	Min Score: 14.451	Max Score: 184.419
Episode 1900	Average Score: 61.590	Min Score: 0.054	Max Score: 244.768
Episode 1950	Average Score: 77.394	Min Score: 15.592	Max Score: 304.768
Episode 2000	Average Score: 80.712	Min Score: 20.344	Max Score: 302.885
Episode 2050	Average Score: 73.607	Min Score: 11.725	Max Score: 205.925
