Episode 50	Average Score: 0.699	Min Score: -2.007	Max Score: 3.757
Episode 100	Average Score: 1.160	Min Score: -0.354	Max Score: 6.500
Episode 150	Average Score: 1.789	Min Score: -0.061	Max Score: 8.065
Episode 200	Average Score: 2.170	Min Score: -0.013	Max Score: 6.222
Episode 250	Average Score: 2.665	Min Score: 0.280	Max Score: 8.068
Episode 300	Average Score: 3.335	Min Score: 0.412	Max Score: 8.673
Episode 350	Average Score: 3.798	Min Score: 0.335	Max Score: 9.357
Episode 400	Average Score: 4.491	Min Score: 0.600	Max Score: 9.746
Episode 450	Average Score: 4.601	Min Score: 0.221	Max Score: 9.020
Episode 500	Average Score: 4.308	Min Score: 0.352	Max Score: 8.995
Episode 550	Average Score: 4.205	Min Score: 0.327	Max Score: 13.342
Episode 600	Average Score: 4.623	Min Score: 0.406	Max Score: 16.431
Episode 650	Average Score: 4.953	Min Score: 0.355	Max Score: 13.187
Episode 700	Average Score: 5.333	Min Score: 0.526	Max Score: 10.789
Episode 750	Average Score: 6.627	Min Score: 0.694	Max Score: 17.027
Episode 800	Average Score: 7.035	Min Score: 0.763	Max Score: 12.343
Episode 850	Average Score: 7.083	Min Score: 0.586	Max Score: 14.159
Episode 900	Average Score: 7.797	Min Score: 0.667	Max Score: 14.977
Episode 950	Average Score: 7.937	Min Score: 0.545	Max Score: 20.238
Episode 1000	Average Score: 7.398	Min Score: 0.408	Max Score: 23.502
Episode 1050	Average Score: 7.802	Min Score: 0.672	Max Score: 18.821
Episode 1100	Average Score: 8.124	Min Score: 0.512	Max Score: 14.773
Episode 1150	Average Score: 7.659	Min Score: 0.580	Max Score: 17.058
Episode 1200	Average Score: 8.140	Min Score: 0.946	Max Score: 17.118
Episode 1250	Average Score: 8.420	Min Score: 0.749	Max Score: 15.926
Episode 1300	Average Score: 8.384	Min Score: 0.550	Max Score: 14.467
Episode 1350	Average Score: 8.656	Min Score: 0.549	Max Score: 19.922
Episode 1400	Average Score: 8.719	Min Score: 0.753	Max Score: 19.327
Episode 1450	Average Score: 9.033	Min Score: 0.674	Max Score: 18.623
Episode 1500	Average Score: 9.579	Min Score: 0.712	Max Score: 17.730
Episode 1550	Average Score: 10.033	Min Score: 0.563	Max Score: 20.551
Episode 1600	Average Score: 10.033	Min Score: 1.339	Max Score: 17.660
Episode 1650	Average Score: 9.342	Min Score: 0.974	Max Score: 16.845
Episode 1700	Average Score: 9.093	Min Score: 2.522	Max Score: 17.695
Episode 1750	Average Score: 9.826	Min Score: 0.530	Max Score: 23.596
