agent.LR=5e-4
agent.GRADIENT_CLIP=5
agent.EPOCHS=8
agent.BATCH_SIZE=64
agent.GAMMA=0.99
agent.GAE_TAU=0.95
agent.CLIP_EPSILON=0.2
agent.C1 = 0.5
agent.C2 = 1
scores = train(agent, n_episodes=100000, max_t=1010, train_mode=True)

Episode 50	Average Score: 31.152	Min Score: 8.062	Max Score: 65.613
Episode 100	Average Score: 31.672	Min Score: 8.736	Max Score: 90.345
Episode 150	Average Score: 30.239	Min Score: 9.562	Max Score: 103.163
Episode 200	Average Score: 31.002	Min Score: 9.219	Max Score: 96.207
Episode 250	Average Score: 33.132	Min Score: 8.962	Max Score: 71.069
Episode 300	Average Score: 31.888	Min Score: 10.811	Max Score: 61.096
Episode 350	Average Score: 32.415	Min Score: 9.826	Max Score: 70.503
Episode 400	Average Score: 33.636	Min Score: 7.973	Max Score: 83.119
Episode 450	Average Score: 34.384	Min Score: 7.371	Max Score: 93.747
Episode 500	Average Score: 33.370	Min Score: 7.058	Max Score: 107.699
Episode 550	Average Score: 29.311	Min Score: 9.437	Max Score: 71.811
Episode 600	Average Score: 27.014	Min Score: 8.034	Max Score: 69.927
Episode 650	Average Score: 26.966	Min Score: 8.522	Max Score: 62.864
Episode 700	Average Score: 26.545	Min Score: 8.859	Max Score: 68.001
Episode 750	Average Score: 28.543	Min Score: 8.895	Max Score: 83.921
Episode 800	Average Score: 30.339	Min Score: 9.086	Max Score: 74.562
Episode 850	Average Score: 31.166	Min Score: 12.008	Max Score: 96.054
Episode 900	Average Score: 32.608	Min Score: 6.632	Max Score: 85.927
Episode 950	Average Score: 32.303	Min Score: 8.826	Max Score: 75.064
Episode 1000	Average Score: 30.370	Min Score: 7.888	Max Score: 62.096
Episode 1050	Average Score: 28.450	Min Score: 8.048	Max Score: 65.507
Episode 1100	Average Score: 30.767	Min Score: 11.402	Max Score: 85.267
Episode 1150	Average Score: 32.615	Min Score: 7.757	Max Score: 77.576
Episode 1200	Average Score: 33.817	Min Score: 6.117	Max Score: 109.331
Episode 1250	Average Score: 36.431	Min Score: 9.334	Max Score: 124.099
Episode 1300	Average Score: 42.912	Min Score: 11.927	Max Score: 145.181
Episode 1350	Average Score: 45.982	Min Score: 13.539	Max Score: 117.809
